camera	fruitset	habitat
N01	0.510204082	Native
N02	0.41509434	Native
N03	0.195652174	Native
N04	0.363636364	Native
N05	0.55	Native
N06	0.52	Native
N08	0.875	Native
N09	0.578947368	Native
N11	0.384615385	Native
N12	0.875	Native
N13	0.549019608	Native
N14	0.105263158	Native
N15	0.709677419	Native
N16	1.208333333	Native
N17	0.95	Native
N18	0.576923077	Native
N19	0.230769231	Native
N20	0.6	Native
E01	0.1125	Eucalyptus
E02	0.5	Eucalyptus
E03	0.509090909	Eucalyptus
E04	0.985074627	Eucalyptus
E05	0.702702703	Eucalyptus
E06	0.87037037	Eucalyptus
E07	0.492753623	Eucalyptus
E08	0.215384615	Eucalyptus
E09	0.636363636	Eucalyptus
E10	1	Eucalyptus
E11	0.5	Eucalyptus
E12	0.878787879	Eucalyptus
E14	0.875	Eucalyptus
E15	0.681818182	Eucalyptus
E16	0.074074074	Eucalyptus
E17	0.260869565	Eucalyptus
E18	0.696969697	Eucalyptus
E19	0.923076923	Eucalyptus
